baseline_similarity,mean_shift_similarity,regression_similarity,Sentence1,Sentence2
0.9243246618032874,0.9461304556821198,0.9515652585911742,It happens naturally,It happened naturally
0.8917244826319393,0.9217714434355166,0.926386749616309,We strengthen considerably,We strengthened considerably
0.6932056587684223,0.7151364895882705,0.7604711524116778,It clarifies ambiguous points,It clarified ambiguous points
0.9096650104290106,0.9295993952618671,0.9355642803718798,Penguins waddle steadily,Penguins waddled steadily
0.9427557268004125,0.9634312910961921,0.9654417734446101,Teenagers study diligently,Teenagers studied diligently
0.8613295069442615,0.8604262230244744,0.8712021751319523,Firefighters extinguish fires bravely,Firefighters extinguished fires bravely
0.9082563487088609,0.9454865941716817,0.9500820333405213,The rabbits hop quickly,The rabbits hopped quickly
0.917832928810346,0.9392082212370882,0.9444535657507536,You learn quickly,You learned quickly
0.9362267987421728,0.9488119245199477,0.95131411929062,We share emotions universally,We shared emotions universally
0.9272432238271588,0.9371819368413762,0.9356298498156721,The walruses haul out on land,The walruses hauled out on land
0.8678230087509292,0.9062360521583388,0.9172039255008533,The grass dries quickly,The grass dried quickly
0.7909329813987555,0.8337321585896947,0.8559794442053668,He learns quickly.,He learned quickly.
0.9085460834050207,0.9370848982851144,0.9447650074972745,Monkeys swing playfully,Monkeys swung playfully
0.918631755902706,0.9328289746761487,0.9341892215015482,The police officer arrests suspects,The police officer arrested suspects
0.9218784048078719,0.9355468080793656,0.9349219026731316,The sound engineer enhances the sound,The sound engineer enhanced the sound
0.9526154772865465,0.9650346991972588,0.9663422646097888,The singer sings a song,The singer sang a song
0.9589854041998565,0.9792506673132669,0.9786333214717894,The bluebirds sing beautifully,The bluebirds sang beautifully
0.8980619663260022,0.9177787840784064,0.9316794704488685,It operates seamlessly,It operated seamlessly
0.7320426769390095,0.755548840975335,0.8055647071606566,It functions optimally,It functioned optimally
0.8758567547576792,0.9124708953940499,0.913484566018947,I stay focused,I stayed focused
0.6424250888194016,0.6792412067354401,0.7290260844594846,It clarifies perfectly,It clarified perfectly
0.9203031654308782,0.9419098168124742,0.9451143516732993,They dance gracefully,They danced gracefully
0.8962743493477482,0.9217882731897615,0.9359404291124811,Geese fly in formation,Geese flew in formation
0.9013071424345993,0.9206618098852442,0.9270316074585743,You compete fiercely,You competed fiercely
0.8828314993963499,0.9142871148313201,0.9207927828666604,We leave immediately,We left immediately
0.9290081596474982,0.9572740663757653,0.9647401440240975,The trees sway gently,The trees swayed gently
0.9474197058549596,0.9731343633558718,0.9747392307937341,The children play happily,The children played happily
0.8937296257251877,0.9241130500607388,0.9284679332942936,The lawyer cross examines witnesses,The lawyer cross examined witnesses
0.885310768843798,0.8903753746654566,0.9019486702872849,The director films a movie,The director filmed a movie
0.9324507672369712,0.944721335838265,0.9540387742666112,The singer uses her voice beautifully,The singer used her voice beautifully
0.9064132232028981,0.9187037302671157,0.9265593667735232,We calculate precisely,We calculated precisely
0.9407006940134053,0.9526943910593539,0.9531731519402729,The snowy owls hunt at night,The snowy owls hunted at night
0.9600948740171198,0.9658588252830064,0.9668449222340454,The robins build nests diligently,The robins built nests diligently
0.8545375760439227,0.8798402287533343,0.8986744481885257,The penguins waddle on ice,The penguins waddled on ice
0.943218008666636,0.948119137098306,0.9504891319635673,Ducks swim in ponds,Ducks swam in ponds
0.9513534277855152,0.9670239428727173,0.9698423378541869,You feel gentle breezes,You felt gentle breezes
0.9263870769912796,0.9552701772725412,0.9615958862633024,Dancers move gracefully,Dancers moved gracefully
0.916755405667726,0.9447867326733022,0.9511140029012427,The frogs leap energetically,The frogs leaped energetically
0.9271630778918765,0.9409786745380917,0.9389499177177182,The actor portrays a character,The actor portrayed a character
0.818805669340099,0.8650495657199262,0.8940968671651088,She swims gracefully.,She swam gracefully.
0.9272449776451671,0.9545671574379706,0.9571261619775657,It disappears quickly,It disappeared quickly
0.8779515309903537,0.9069681353123904,0.9198450987718466,The moon illuminates the night,The moon illuminated the night
0.9230240167757788,0.9513577162110057,0.9526629359804144,I touch the fabric,I touched the fabric
0.894290764865362,0.9192780720249047,0.9213639197195055,The firefighter rescues people,The firefighter rescued people
0.873454355214734,0.9093832918256373,0.9118191580740547,You hum quietly,You hummed quietly
0.9106687231831099,0.9333914861184458,0.935552207047439,The ravens caw loudly,The ravens cawed loudly
0.9355112015787064,0.9554981923798325,0.9581297934310451,The set designer creates environments,The set designer created environments
0.9407006940134053,0.9526943910593539,0.9531731519402729,The snowy owls hunt at night,The snowy owls hunted at night
0.9342558633772378,0.9559843323919918,0.9610784266353882,Students learn lessons,Students learned lessons
0.8371853231142848,0.8590145803378639,0.8718194075252895,They orchestrate expertly,They orchestrated expertly
0.8878832378941175,0.9329787576922054,0.942088405529849,The rain falls steadily,The rain fell steadily
0.9430561280016909,0.9568434758318992,0.958019571832064,They convince listeners readily,They convinced listeners readily
0.9340088473022523,0.9395570719845509,0.9353175909554248,The caribou migrate annually,The caribou migrated annually
0.8732886218227001,0.8829677894571417,0.9097952698128657,The grass grows green,The grass grew green
0.9262694411584244,0.9503233627073215,0.9482025402429826,They swim in the pool.,They swam in the pool.
0.9137213013846688,0.9395858469625986,0.9458811300280453,She speaks eloquently.,She spoke eloquently.
0.9590606360129019,0.9748352414786682,0.9738985689180698,The hawks hunt skillfully,The hawks hunted skillfully
0.888409620579494,0.9168508168455102,0.9184103208655856,The flower blooms beautifully.,The flower bloomed beautifully.
0.8887410089011962,0.9206615166362337,0.9306985851601794,He improves significantly,He improved significantly
0.9374958619318555,0.9516651185738291,0.9489430707845306,The turtles bask in the sun,The turtles basked in the sun
0.9031664826067135,0.9373243504714699,0.9395039158992685,They cry softly,They cried softly
0.8323779568158056,0.8605814353223599,0.8783800345419064,The phone rings loudly.,The phone rang loudly.
0.7642094199284237,0.8003694723209414,0.8350766067131214,It amplifies significantly,It amplified significantly
0.8369099074557739,0.8842828105941455,0.9005484161030817,They arrive early,They arrived early
0.9136331004580943,0.9447521171423618,0.9498842627470043,The children laugh heartily,The children laughed heartily
0.9101726246677881,0.9330470011261213,0.948912037130388,Photographers capture images professionally,Photographers captured images professionally
0.9175134243451963,0.9280477637492216,0.9395184068150374,Walruses rest on ice floes,Walruses rested on ice floes
0.7549478661686736,0.7940577486851335,0.8286714444238388,We enchant audiences effortlessly,We enchanted audiences effortlessly
0.9109467393019491,0.9334974313043206,0.942831056257787,He creates stunning images.,He created stunning images.
0.8444744301549667,0.8784751884835527,0.8938312830595109,He attenuates gradually,He attenuated gradually
0.886103821797479,0.9182494191193208,0.9299239185331122,The deer graze peacefully,The deer grazed peacefully
0.9033500200603043,0.9375002964382747,0.9412199011459972,The dolphins leap playfully,The dolphins leaped playfully
0.9221167441698794,0.9536358687699507,0.9523110145658988,The dolphins play joyfully,The dolphins played joyfully
