Sentence 1,Sentence 2
The cat sat on the mat,The cat did not sit on the mat
The sun is shining brightly,The sun is not shining brightly
She ate the entire cake,She did not eat the entire cake
He went to the store,He did not go to the store
The birds are singing sweetly,The birds are not singing sweetly
The flowers are blooming beautifully,The flowers are not blooming beautifully
The dog barked loudly,The dog did not bark loudly
The rain is falling heavily,The rain is not falling heavily
The children are playing happily,The children are not playing happily
The car is parked in the driveway,The car is not parked in the driveway
The phone is ringing loudly,The phone is not ringing loudly
The book is on the table,The book is not on the table
The lamp is on,The lamp is off
The television is on,The television is off
The computer is working properly,The computer is not working properly
The coffee is hot,The coffee is not hot
The milk is cold,The milk is not cold
The pizza is delicious,The pizza is not delicious
The movie is interesting,The movie is not interesting
He is happy,He is not happy
She is sad,She is not sad
They are tired,They are not tired
We are hungry,We are not hungry
I am thirsty,I am not thirsty
The door is open,The door is closed
The window is closed,The window is open
The light is on,The light is off
The music is loud,The music is quiet
The party is fun,The party is not fun
The food is tasty,The food is not tasty
The weather is nice,The weather is not nice
He finished his work,He did not finish his work
She completed the project,She did not complete the project
They solved the problem,They did not solve the problem
We answered the question,We did not answer the question
I understood the instructions,I did not understand the instructions
The train arrived on time,The train did not arrive on time
The plane departed early,The plane did not depart early
The bus left late,The bus did not leave late
The car broke down,The car did not break down
The phone battery died,The phone battery did not die
The computer crashed,The computer did not crash
The internet connection failed,The internet connection did not fail
The printer jammed,The printer did not jam
The lights went out,The lights did not go out
The oven is preheated,The oven is not preheated
The refrigerator is working,The refrigerator is not working
The washing machine is clean,The washing machine is dirty
The dishwasher is full,The dishwasher is not full
He likes to swim,He does not like to swim
She enjoys reading,She does not enjoy reading
They love to travel,They do not love to travel
We appreciate your help,We do not appreciate your help
I believe you,I do not believe you
The story is true,The story is false
The news is accurate,The news is inaccurate
The evidence is convincing,The evidence is not convincing
The argument is valid,The argument is invalid
The conclusion is sound,The conclusion is unsound
The explanation is clear,The explanation is unclear
The instructions are simple,The instructions are not simple
The task is easy,The task is difficult
The problem is solvable,The problem is unsolvable
The solution is correct,The solution is incorrect
The answer is right,The answer is wrong
The result is positive,The result is negative
The outcome is successful,The outcome is unsuccessful
The project is complete,The project is incomplete
The meeting was productive,The meeting was unproductive
The presentation was effective,The presentation was ineffective
The experiment was a success,The experiment was a failure
The performance was excellent,The performance was poor
The game was exciting,The game was boring
The movie was scary,The movie was not scary
The book was long,The book was short
The song was popular,The song was unpopular
The painting was beautiful,The painting was ugly
The sculpture was impressive,The sculpture was unimpressive
The building is tall,The building is not tall
The tree is big,The tree is small
The river is wide,The river is narrow
The mountain is high,The mountain is low
The road is long,The road is short
The path is clear,The path is unclear
The sky is blue,The sky is not blue
The grass is green,The grass is not green
The leaves are brown,The leaves are not brown
The snow is white,The snow is not white
The dog chased the squirrel,The dog did not chase the squirrel
The bird flew away,The bird did not fly away
The sun set in the west,The sun did not set in the west
The moon rose in the east,The moon did not rise in the east
The stars shone brightly,The stars did not shine brightly
The wind blew strongly,The wind did not blow strongly
The rain poured down,The rain did not pour down
The snow fell softly,The snow did not fall softly
The ice melted quickly,The ice did not melt quickly
The river flowed smoothly,The river did not flow smoothly
The ocean waves crashed,The ocean waves did not crash
The mountains stood tall,The mountains did not stand tall
The trees swayed gently,The trees did not sway gently
The flowers bloomed beautifully,The flowers did not bloom beautifully
The leaves turned colors,The leaves did not turn colors
The fruit ripened on the vine,The fruit did not ripen on the vine
The vegetables grew abundantly,The vegetables did not grow abundantly
The farmer harvested his crops,The farmer did not harvest his crops
The baker baked a delicious cake,The baker did not bake a delicious cake
The chef prepared a wonderful meal,The chef did not prepare a wonderful meal
