baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
6.08786660012528,4.742905794220127,4.5090656845584185,6.068108489098242,3.420155313605717,3.6902984323409918,5.206218365864531,The debate was lively.,The debate may have been lively.
5.78117481352605,4.517912610701963,3.7333550452893838,5.672439521376192,4.458242856574363,6.156655456936313,6.578846359046166,The pressure changed rapidly.,The pressure could have changed rapidly.
4.707630476109831,3.721614897441826,3.226937863636957,4.780146363519341,4.204027112161222,4.009928502762994,6.332307942427841,The rainbow appeared beautifully.,The rainbow could have appeared beautifully.
5.180214936872839,4.293458287719809,3.758123797080494,5.1927164960629115,5.395406150877734,4.8651740629006435,7.236006859107939,The goose honked loudly.,The goose may have honked loudly.
6.383893100664567,5.235925237980191,4.639712713674602,6.29515314684473,1.8892130294680163,1.7606205290238013,2.5669965681756457,The method was effective.,The method may have been effective.
4.639804433984523,4.021157739251119,3.1254128499833107,4.628504642381856,3.44440948475013,3.4796938719910435,5.514681090260302,The toad sat on a lily pad.,The toad may have sat on a lily pad.
6.3667554469517444,5.339618588144934,4.889915565011164,6.313781146388444,5.073560768898204,4.8898516432557395,6.674733333892187,The rebound was swift.,The rebound may have been swift.
4.305946310723237,2.7016744894100904,2.416521858342854,4.275497288221671,3.1552134464428274,2.915774349309755,6.251141844717268,The book was insightful.,The book might have been insightful.
6.031395911900963,4.717213653144765,3.9737161227310303,5.997303515647292,4.165134568305551,4.274425866238319,4.579760205322733,The audience applauded enthusiastically.,The audience might have applauded enthusiastically.
5.5062628869198305,4.684450812695194,3.6885744711098516,5.553878155670034,2.983019711121556,3.1972108171918334,4.55723533375334,The person is tired.,The person might be tired.
4.388057619255737,4.3024658503411075,3.960942623303506,4.471963735030436,5.181291585722697,4.8666285147694435,6.362084054916552,The experience is transformative.,The experience may be transformative.
5.50386330575909,4.682940287897809,4.232333791786491,5.430621337244993,4.465881335641007,4.551569769574576,5.061054686895833,The city is big.,The city could be big.
5.066744310200497,3.7054074264499497,3.242800991032675,4.9815173646733975,3.7448232727399726,3.725391605140769,4.622488668168663,The potential was unlimited.,The potential might have been unlimited.
4.7957623199991435,3.020815473284901,2.520889177743475,4.615429736070202,3.083489155045552,2.9294651243594787,3.894423666699649,The profit was significant.,The profit might have been significant.
6.296099780365359,5.4014075396393375,4.605717729895637,6.313388573923478,5.25010867498542,5.024687105875995,6.023114100656307,The potential was unlimited.,The potential may have been unlimited.
4.950356930529796,3.3650190546408947,3.0197662130874012,4.802426934611606,1.991617265413053,2.2482737817693907,4.816209218878282,The competition was fierce.,The competition could have been fierce.
5.355122910906043,4.336517384469152,3.9242628795946506,5.310418565402979,1.2707590143684109,1.4411577262662116,6.417789335418966,The victory was sweet.,The victory may have been sweet.
6.345929121364175,4.9922105219996045,4.3498599087282015,6.223857884412255,1.7098566867706266,1.5086632740840074,3.7733410408923005,The influence was considerable.,The influence might have been considerable.
5.181640428184097,4.436488521019029,3.7105808417348802,5.11854006598101,3.3076602294831314,3.7860575268327032,5.278593651848835,The wildfire destroyed homes.,The wildfire could have destroyed homes.
7.883036545965166,6.937713102518655,6.195774636602959,7.808022956096841,6.436424219470541,6.657130592804487,7.237803675786413,The commute is long.,The commute might be long.
