baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
3.6684060294330987,3.0917375390741233,2.817683891877809,3.6918182623418834,3.293690212298828,3.5910614436291337,5.906721266486804,It happens naturally,It happened naturally
3.6853280984110106,3.1740463609999714,2.9148757978243074,3.7217463427922044,3.283475729068754,3.556590137143502,5.078524582589427,We strengthen considerably,We strengthened considerably
7.027493529963123,6.797633407026815,5.757961807392234,7.06726950654085,5.418083972191861,5.251525583479295,7.404401250531772,It clarifies ambiguous points,It clarified ambiguous points
3.737703952305264,3.3091690742089273,3.2015269843216743,3.9013437432653197,3.348033309755055,3.4162445893039006,5.660386743829234,Penguins waddle steadily,Penguins waddled steadily
2.9937201176561374,2.381559466817058,2.34674091509765,2.974710034940953,2.7909514730934486,2.7759061776899325,4.44021632380692,Teenagers study diligently,Teenagers studied diligently
5.21424761941328,5.2083463366695435,4.998774724065343,5.399376722051583,4.949276413700343,5.249576410243201,5.81889867645063,Firefighters extinguish fires bravely,Firefighters extinguished fires bravely
3.434295677792204,2.652062001756506,2.4594417593148954,3.4559771113935946,1.388724865363812,1.781691311204725,3.8792647964201317,The rabbits hop quickly,The rabbits hopped quickly
3.72812827032928,3.209944212589453,2.975496785029179,3.86325089358077,2.724084989048982,3.1379406777589787,4.280579698126311,You learn quickly,You learned quickly
3.0744302245928625,2.774359876627677,2.6671728625718325,3.3911429448655017,3.1309360834833457,3.379070594571613,4.325596622305094,We share emotions universally,We shared emotions universally
3.3300717733136453,3.084053311173827,3.087052557924946,3.5371321571055936,2.327118233871473,2.552963736360853,3.292867882105578,The walruses haul out on land,The walruses hauled out on land
4.505308181629207,3.7633673876873304,3.352884684311916,4.5749529443535275,4.359273410999659,4.591268792128531,6.723019776353082,The grass dries quickly,The grass dried quickly
6.490360283215662,5.6758431858114555,4.978320201382122,6.43740902740928,4.606271901763952,4.784307699306953,6.135464715300069,He learns quickly.,He learned quickly.
3.8019867699311196,3.1686991945838296,2.7608170821461537,3.896966716211423,3.631493814369594,3.3344711202249293,6.204241914166976,Monkeys swing playfully,Monkeys swung playfully
3.689997818997075,3.326452128561601,3.264153701177873,3.7544488094082067,3.733835145326905,3.9300376433292294,4.746411245044477,The police officer arrests suspects,The police officer arrested suspects
3.6927342657930966,3.3276088815914555,3.2413869428413715,3.9200830059690075,3.415774822387989,4.767466837065595,5.81542538747328,The sound engineer enhances the sound,The sound engineer enhanced the sound
2.7841445102685967,2.402815870213988,2.232441884182223,2.9917046190443424,2.622578191492283,2.9449811723704635,4.058806121560563,The singer sings a song,The singer sang a song
2.6819312880427386,1.8925158184795374,1.952968392893647,2.946697412976256,2.3023116931676046,3.03712176902429,5.46592952161569,The bluebirds sing beautifully,The bluebirds sang beautifully
3.912615092981308,3.5148186002674415,3.11711303109341,3.9291676061595635,3.2218029400835575,3.5957733739557693,5.2735165115001434,It operates seamlessly,It operated seamlessly
6.578801810960955,6.338639370242442,5.198054980853616,6.503582598417805,1.6311193866127176,1.8780840493744648,4.528960094409407,It functions optimally,It functioned optimally
4.019868503404499,3.3734146898310073,3.231721177094721,4.111954894546199,1.5561087684404091,2.1870830461385364,2.798643232394526,I stay focused,I stayed focused
7.14449265404231,6.782180507329264,5.833322806717868,7.126070996536744,4.597245311390795,4.737096685070018,5.982014919676542,It clarifies perfectly,It clarified perfectly
3.34951710075844,2.868151403084417,2.7592779363887034,3.4591100304835307,1.4688677205710474,1.8148627671127038,4.10140290783036,They dance gracefully,They danced gracefully
4.033525577445028,3.489448751133306,3.062786249264114,4.077402675284712,2.871354159967495,2.93354332302568,5.164734703053449,Geese fly in formation,Geese flew in formation
3.736060991750456,3.3687187966110597,3.1314094245367503,3.880136459526168,2.967374477492991,3.183572613893007,4.200104896770063,You compete fiercely,You competed fiercely
3.877433736797709,3.3202806958215696,3.0933213166023457,3.986065735852909,3.4089961456597764,3.4107854743500785,5.00453245506018,We leave immediately,We left immediately
3.365845259866293,2.604692530097217,2.306361866298366,3.4766468376261397,1.6974187090154698,2.0201732004417092,4.782696542363615,The trees sway gently,The trees swayed gently
2.6823262737748754,1.9335768844355197,1.8417717586306992,2.93250674540137,2.2321619624205504,2.6460232766795384,4.20433492667718,The children play happily,The children played happily
3.909029547223494,3.2835341841285275,3.1422375403649325,4.066529468985993,3.637532594838474,3.9246490726182963,5.6465357914589305,The lawyer cross examines witnesses,The lawyer cross examined witnesses
4.134437816987604,4.063939147887749,3.703832173415537,4.244282387902591,3.8039945289205686,3.869492592735007,4.6740160516386124,The director films a movie,The director filmed a movie
3.1904500068878967,2.9169832222113725,2.5139610896294737,3.4658660855123054,3.3132824668808456,3.4333777742178877,5.65288293995128,The singer uses her voice beautifully,The singer used her voice beautifully
3.5077861017674277,3.2925426150475396,3.0670427534908633,3.5168744712638063,3.407188747607063,3.4470068579087925,4.668337683568907,We calculate precisely,We calculated precisely
3.4749529935580257,3.122337849452599,3.288028739381141,3.6777105359605153,2.3565269735340486,2.5622761705235413,4.56950733288623,The snowy owls hunt at night,The snowy owls hunted at night
2.6832924906182107,2.4668903209246924,2.5363755139738795,2.9352807076831056,2.745288102948968,3.12635956060594,3.8262220609852484,The robins build nests diligently,The robins built nests diligently
4.760946987477612,4.300621485891188,3.9094569874435283,4.856664870899985,1.71456340530554,2.1259487383852713,3.4655099966572336,The penguins waddle on ice,The penguins waddled on ice
3.406068951806663,3.258442197444879,3.3033984974472763,3.7048349808289935,3.6586208347670026,3.8401215125459496,5.129885759033189,Ducks swim in ponds,Ducks swam in ponds
2.8432601457467714,2.3462782779233846,2.146459341410444,3.1671322660815986,3.2462298147117212,3.3312898946693337,5.084378920787096,You feel gentle breezes,You felt gentle breezes
3.440543952063546,2.672723501403073,2.4356107068314117,3.488985559925423,2.419072607308127,2.671107456954413,5.970050829925894,Dancers move gracefully,Dancers moved gracefully
3.4588774870750996,2.803037422707586,2.5288110159987105,3.5876893750583196,2.63124087688618,2.795880198649262,4.484788561124749,The frogs leap energetically,The frogs leaped energetically
3.521993167845218,3.161339003516202,3.0774862502940556,3.674213588718406,4.838535090562292,4.7884150101070535,5.8905729295121985,The actor portrays a character,The actor portrayed a character
5.848621690446903,4.962461512510554,4.217967434298244,5.788195026780165,3.753580149905216,4.078721249258544,6.090555837585677,She swims gracefully.,She swam gracefully.
3.251756953792765,2.5675079341248446,2.42475386547406,3.270855056921814,3.5298428879281754,3.7081287990268064,5.534119251015518,It disappears quickly,It disappeared quickly
5.3187279386231125,4.563419201485127,4.007123778718617,5.289326745749526,1.521964321815721,1.9319117973106474,3.4994668580021586,The moon illuminates the night,The moon illuminated the night
3.1506372845642225,2.5241780743072177,2.3688612505743025,3.2092394271523697,3.3394332230325974,3.7146398493851525,4.518543262123785,I touch the fabric,I touched the fabric
3.991310806450701,3.4731502053907506,3.4008873285466548,4.04735981874146,4.007074145809864,4.362672382328382,6.6751598971725645,The firefighter rescues people,The firefighter rescued people
4.413397010701615,3.747099023078795,3.5112374514399294,4.5943488433690245,3.6600657474446696,3.962062324581558,7.090349595230315,You hum quietly,You hummed quietly
3.97919756153412,3.3969592291888002,3.269820548973386,4.153307721311016,1.804420771356059,2.5985036402246195,4.9363555251688265,The ravens caw loudly,The ravens cawed loudly
3.2265765062704124,2.650882581621909,2.607691577549971,3.4326982206693333,3.3203308032880097,3.1751426014677753,4.236245584214734,The set designer creates environments,The set designer created environments
3.4749529935580257,3.122337849452599,3.288028739381141,3.718561972807295,2.3565269735340486,2.5622761705235413,4.56950733288623,The snowy owls hunt at night,The snowy owls hunted at night
3.0813450157723876,2.5344643653512318,2.343153077983867,3.322276973601405,3.2983646550486774,3.502170066211225,4.286429284598541,Students learn lessons,Students learned lessons
5.074009268170283,4.69738879839689,4.290328046349619,5.061674001153415,4.287447408675453,4.4532080851155245,5.637042313420972,They orchestrate expertly,They orchestrated expertly
4.327324707950359,3.295830282523779,3.0429036778359726,4.253313467217929,2.013501467414656,2.4345316872147866,5.428731583513252,The rain falls steadily,The rain fell steadily
2.550855694529047,2.2686228466077365,2.1312062292075784,2.6614119805560983,2.5816798310970763,2.8652428248304567,4.792528948389367,They convince listeners readily,They convinced listeners readily
3.3126088217816223,3.1662959233049714,3.2283256856826252,3.503190355769742,3.006699965123394,3.2583680870206337,6.0987318214127955,The caribou migrate annually,The caribou migrated annually
4.7278044031063775,4.552676185787585,3.795845028936691,4.881148898795744,1.3639450737863388,1.5250221800606858,5.622096142475159,The grass grows green,The grass grew green
4.129025755528989,3.364147751819029,3.5108419869833924,4.424336707502114,4.3739671025721885,4.7026713431429075,6.66994275498846,They swim in the pool.,They swam in the pool.
3.969967490791939,3.2517960596746147,2.921706924809741,4.116093773242021,3.089685033110991,3.176583935517727,4.629394598757801,She speaks eloquently.,She spoke eloquently.
2.6850342865255703,2.1031066504055365,2.248594347265938,2.921754959759912,2.336335022426946,2.351165719167472,5.285697422174334,The hawks hunt skillfully,The hawks hunted skillfully
