baseline_similarity,mean_shift_similarity,regression_similarity,Sentence1,Sentence2
0.878149486506466,0.8674644152830482,0.8872468748391078,The attendees left feeling informed.,The attendees left with a feeling of being informed.
0.9194048000226587,0.9402588016400016,0.9435359774804392,The plumber expertly repaired the leaking pipes.,The leaking pipes were expertly repaired by the plumber.
0.9249968054326986,0.9433927645764902,0.9475372785064883,The painter carefully applied the paint to the canvas.,The paint was carefully applied to the canvas by the painter.
0.935769453437219,0.9447806001636748,0.9570410032547211,The participants built valuable connections.,Valuable connections were built by the participants.
0.8611624137711795,0.8978314615406329,0.899275476742144,The distributor shipped the magazines.,The magazines were shipped by the distributor.
0.9398371647483981,0.9529760556749628,0.9534934655086198,The server attentively served the meal.,The meal was attentively served by the server.
0.9310992557350461,0.9589559326635955,0.9513509011844989,The yoga instructor guided the students.,The students were guided by the yoga instructor.
0.9096507844175618,0.9272513270642463,0.9340187066677255,The sponsors provided funding.,Funding was provided by the sponsors.
0.9301080322085242,0.9536193046947251,0.9562166608778693,The editor carefully proofread the lengthy manuscript.,The lengthy manuscript was carefully proofread by the editor.
0.8461605818412694,0.8654667846595792,0.8870197264195259,The artist painted a masterpiece.,A masterpiece was painted by the artist.
0.9059099492354923,0.9272494325407945,0.9244994800692631,The team effectively implemented their strategy.,Their strategy was effectively implemented by the team.
0.7782852920752451,0.798817428014339,0.8317868728596269,The rain fell gently.,Gentle falling was seen in the rain.
0.9345523058269716,0.9417074828183972,0.9506328784488628,The opponent fiercely contested the game.,The game was fiercely contested by the opponent.
0.9267038996489456,0.9317888735511225,0.9357923393363548,The company rewarded its top performers.,Its top performers were rewarded by the company.
0.9508622307233092,0.9629697165784468,0.9664680153706806,The attendees provided valuable feedback.,Valuable feedback was provided by the attendees.
0.9640954436785192,0.9733943364658918,0.9719073819241769,The knitter carefully constructed the intricate design.,The intricate design was carefully constructed by the knitter.
0.8334970032567781,0.8536905626105081,0.8497668498491261,The runner ran the race.,The race was run by the runner.
0.9536271619980852,0.9698356385156635,0.9677615411027848,The jury carefully deliberated the verdict.,The verdict was carefully deliberated by the jury.
0.9497670184989043,0.950926706019045,0.9536803056772504,The recipient gratefully received the package.,The package was gratefully received by the recipient.
0.9068359456314521,0.9310210842887445,0.9367778233942488,The pilot landed the airplane safely.,The airplane was landed safely by the pilot.
0.9433919249331109,0.9405521368865374,0.9499893882800493,The speakers received positive feedback.,Positive feedback was received by the speakers.
0.8253202092208741,0.8723267918074855,0.8937609446303905,The painter mixed the colors.,The colors were mixed by the painter.
0.919197050471966,0.9350132275617168,0.9449762890869982,The engineer mastered the audio.,The audio was mastered by the engineer.
0.9311559313281504,0.9481621051568422,0.9588943733907906,The staff ensured a smooth event.,A smooth event was ensured by the staff.
0.8338017981456112,0.8818185126765832,0.9021784388537085,The pilot landed the plane.,The plane was landed by the pilot.
0.9172173136423892,0.9406404105298876,0.9440166185389632,The commentator described the game.,The game was described by the commentator.
0.873455849717569,0.9076113735013863,0.9223460003800941,The mechanic repaired the engine.,The engine was repaired by the mechanic.
0.9230056262834752,0.9363463144869906,0.9430906528112475,The company launched a groundbreaking product.,A groundbreaking product was launched by the company.
0.9442623752838643,0.9610019585578737,0.9587182410127012,The designer creatively conceived the innovative collection.,The innovative collection was creatively conceived by the designer.
0.9526050463861786,0.9753347805162602,0.9759984028080334,The baker meticulously decorated the cake.,The cake was meticulously decorated by the baker.
0.9422565626205616,0.9374141164283298,0.9437807972845765,The customer received excellent service.,Excellent service was received by the customer.
0.8758093674455211,0.9124210387305305,0.9214194316091644,The dancer choreographed a routine.,A routine was choreographed by the dancer.
