baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
4.396789592770828,4.616754063550442,4.107777321800955,4.5401782007903835,4.912927943602797,5.1735526232165885,6.602164796925345,The attendees left feeling informed.,The attendees left with a feeling of being informed.
4.145056917298732,3.5369726631027825,3.2717767028440687,4.253649844756179,2.697770800330205,3.168823619670425,5.071801097305666,The plumber expertly repaired the leaking pipes.,The leaking pipes were expertly repaired by the plumber.
3.668908956476649,3.1939846466123516,3.150396678368087,3.801970237613759,3.106060204280486,3.4133218001658667,4.643497034638343,The painter carefully applied the paint to the canvas.,The paint was carefully applied to the canvas by the painter.
3.1059568920454295,2.9326793541202183,2.469449512413312,3.2297338917340985,2.111675703290594,2.459879702170439,5.469096672253483,The participants built valuable connections.,Valuable connections were built by the participants.
4.8278479253209206,4.125574475730718,4.045645313990549,4.904470916763987,3.792048097669138,4.353920666016796,5.771221428604726,The distributor shipped the magazines.,The magazines were shipped by the distributor.
3.530985561699796,3.0955021834816465,3.0436112102992827,3.599219321280324,2.7542818491181404,2.6172129949285257,4.908890122768198,The server attentively served the meal.,The meal was attentively served by the server.
3.3042789447879066,2.5514940319335935,2.72846039593894,3.4736617228774582,4.215631782559233,4.319473690205182,6.178171836800362,The yoga instructor guided the students.,The students were guided by the yoga instructor.
4.0398860922814395,3.6397514051567783,3.6065864211033114,4.111041148780602,3.0135103421897007,3.524871658833549,4.517362253975682,The sponsors provided funding.,Funding was provided by the sponsors.
3.406355805963609,2.788941668232814,2.6454533307799495,3.4952629370218866,2.5239801451547077,2.604039662901643,5.091463114830877,The editor carefully proofread the lengthy manuscript.,The lengthy manuscript was carefully proofread by the editor.
5.328009213543923,4.952550086580688,4.5066684819866625,5.344212457984594,1.733936148591752,2.2402215419070868,3.592253356208118,The artist painted a masterpiece.,A masterpiece was painted by the artist.
3.6539893659567815,3.23975455633413,3.242069636692301,3.8787379597274616,2.675245885567683,2.9843389465626626,3.9201960405663847,The team effectively implemented their strategy.,Their strategy was effectively implemented by the team.
6.945712494538755,6.482103365323851,5.616529564831905,6.968047614353904,5.752281514822478,5.931765391691041,6.82510629583841,The rain fell gently.,Gentle falling was seen in the rain.
3.152675891574362,3.0043186512294455,2.7426542885015155,3.2727667266844183,3.943909422919928,3.8661974567812667,4.674103175756731,The opponent fiercely contested the game.,The game was fiercely contested by the opponent.
3.3885708743327587,3.27990504446354,3.2196137862044787,3.48699864636236,4.107949629584375,4.5709192817684166,5.572941062741983,The company rewarded its top performers.,Its top performers were rewarded by the company.
