baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
9.581678547807611,9.555210509357783,5.558284256261958,9.585459022266019,7.636792311428023,7.37750526807152,8.865233214212768,The athlete broke the record.,She may finish the project early.
7.345554031366809,7.372785670883608,5.192803084096564,7.344926173459375,7.224248420750806,6.827098905244958,8.059888183241462,The knowledge was acquired.,It looks fantastic
8.801465184817143,8.806193992910904,5.984678188439705,8.8170508592006,8.114869687696697,8.551545102975316,7.991186325307717,The politician convincingly presented their views.,He listened attentively.
9.377511759533338,9.370864281512272,6.29426423754751,9.372585587581202,10.123210366749458,9.496197226297133,9.939654914466079, He is at risk of losing his job.,You engage listeners actively
8.363261637305504,8.379999312079658,6.398680781021088,8.36215656129303,7.290415868644387,7.765491261999766,8.860794363824988,The opportunity was seized,We contract slightly
8.55490281103764,8.58312580289433,6.521809161537732,8.525833945952401,8.40208474703478,8.851439380089639,8.684879011267514,Architects designed innovative buildings,Over 1000 people attended the festival.
9.547365535233245,9.538611180903398,7.259489633137191,9.542450352398467,8.302374147488731,8.358674867565474,9.574151438020868,The polar bears powerfully swam through the icy water.,The nurse cared for the sick.
7.9733031786960975,7.981778840566191,5.786377485612234,7.987019518536367,8.271111471306247,8.440477689893278,9.500342183115993,The theme is relevant.,The parcel was sent by the shipper.
8.86707230405893,8.873452059496891,6.718580076833972,8.874397161211414,7.842867871000843,8.609298091696791,8.408393157008385,The request was approved., He is able to efficiently solve the problem.
9.001271905737427,8.98887856859383,4.990044130370439,8.992213473743698,5.872328455610112,6.532466241680991,7.659266222824002, The tank is full of fish.,The idea was innovative.
7.627605947339187,7.639424289544873,6.408094591658591,7.647943880160943,7.309723869805694,6.897713756626071,7.198070228549569,The development was rapid.,The crime was atrocious.
8.42394037901616,8.448301542857205,6.446202686049145,8.451526698965596,8.801097041552612,8.104605869303887,8.922931395703708,The engineer designed a new technology., The mouse is surprisingly tiny.
8.712792158442626,8.726932333325797,6.209486050157456,8.717259078484217,7.574532339828595,8.329016176457303,8.069802588377962,He built four birdhouses.,The progress might have been remarkable.
6.942876036327405,6.944780971825338,5.5835308473358385,6.95470502651793,7.4505127738935215,8.788037024356194,8.125873239795565,He presented the financial report.,The workers completed the projects.
8.561902138656766,8.53423576879613,6.068824034973591,8.566133300658342,8.162351278848174,8.225121897584556,8.11952797531792, The pepper is beside the grinder.,He is a good listener.
9.682604208544703,9.67528678758243,7.395055112344088,9.65771529387617,8.81351089084998,8.41190379446468,8.987361638585028,The thief was convicted of grand larceny.,The dance was performed by the dancer.
10.015592881799218,9.999133901309575,6.54650229459777,10.069877799952296,7.773259192022427,7.874991394919006,8.374635998023203,Fairly and impartially was ruled by the judge.,You simplified considerably
8.742911229476153,8.739274601912154,6.892117009525398,8.744786377406285,8.756643701239074,8.782086724344133,9.194954746695789,The ducks swim happily, The plum is near the bowl.
9.27377647065886,9.273123679117967,6.530984138641115,9.265947590450022,9.303801022499346,9.300459796317563,10.11033173611051, She plans to go to the park.,The hamster ran excitedly on its wheel.
7.766763389925926,7.785114375454977,6.017938611286054,7.7796881659339245,7.611120895733324,8.06821730139594,8.737954456987827,The team strategically implemented their winning strategy.,The projects were completed by the workers.
7.4952940372384615,7.499941396510288,5.409502244453414,7.516336644963434,7.675000559566428,7.375071815352425,8.045360289764986, The performance was unimpressive.,The advice was followed.
8.887664958252659,8.938476198868203,6.218818185477211,8.89644801035671,9.364582515732755,9.327532192304384,10.374817805183607,The worker completed their task.,The effect might have been noticeable.
7.757549250652989,7.741972098602119,6.88629568374228,7.753273391857508,8.276636328131188,9.01047521349942,8.992478187799838,The painter created a mural.,The concert was performed by the musician.
7.867899130796032,7.909778367988969,4.938440762660126,7.832941413966647,7.159379507369869,7.370149447274635,8.155193520961939,A victory was achieved,The change was dramatic.
8.23360762988739,8.226381596019912,5.000421021064905,8.222678581643333,6.316876199799495,6.853768283177884,6.548357690990701,The vivid scene was eloquently described by the writer.,The system was efficient.
8.934516477319148,8.945884677843328,6.045766959704841,8.932045518401376,8.602262445486595,8.670622222658778,9.121376938319868,She ran swiftly, The masterpiece is truly iconic.
8.404575678567,8.409869925752801,6.296939271712356,8.395340230119784,7.406469257413821,7.727773715501482,7.232456295766401,The delivery driver delivered the books.,The planet revolved around the sun
8.705421116978787,8.70495711138155,6.2166406871579145,8.706243100323302,6.981032713741192,6.853479091293494,7.728220502020091,The outcome was uncertain.,We strengthen significantly
7.925279635593552,7.924174522979785,6.051811914286934,7.91394238696826,7.956158043238971,7.440015120868521,7.627927917743471,A rock was sunned on by the lizard.,The commentator provided insightful analysis of the match.
7.528794475901475,7.553408032966156,5.862262172731105,7.564880366389674,6.533684510892134,7.5678318354627665,8.720960809820179,The selection was appropriate.,A gripping script was penned by the screenwriter.
8.745670019668673,8.7676189349106,7.077397437771082,8.727010374037752,8.451982940438153,9.119731273141207,10.463957343887122,The film's success was celebrated by the fans.,The company expanded its operations.
5.828572582263004,5.814917402083139,6.276463121034276,5.81827365547764,9.443464335511507,8.345238775018844,9.346052522368696,It may snow later today., It might rain tomorrow.
7.3149648198168356,7.306399411768694,5.7682883732394865,7.314220932479903,8.085290167440407,6.6593999119979035,7.987846338794379,The tea was aromatic and comforting.,The sunset was magnificent.
7.238612024546586,7.310564433985025,6.112154416808468,7.238232867544995,7.145671319748304,7.400723964996033,7.1569150972704545,The delivery was timely.,The product was bought by the customer.
8.122522709885203,8.11267178052717,5.683716768400249,8.142910488198321,6.9897363788410045,7.950417706210703,8.44095459877896,The book was recommended to patrons by the librarian.,The insects did not crawl on the leaves.
8.869629243230785,8.876432183424157,6.761048095712785,8.882511853168726,7.8578446388203345,7.4424088201888825,8.983750686373305,The professors graded the assignments.,The orangutans nested comfortably.
7.9884996324451985,8.00389710852154,6.114357281038006,8.009961918596941,7.749662501077281,7.765131568646753,7.564810010339325,The presentation was compelling,A thorough examination was given to the patient by the doctor.
10.326312672626445,10.36475406977264,7.304840294048924,10.308444269341129,9.29189521386878,8.754708915704752,8.68052039356861,The architect planned the city.,The deer grazed peacefully in the forest.
9.159122726932399,9.163234446591261,5.835683940983496,9.165010035397557,7.023558304950767,7.5227462077426965,8.184035474931301,The programmer wrote the software.,She may be feeling stressed.
8.015814749764113,8.039754927342612,5.369433999835198,8.02564041248059,7.424656066902274,7.176658547214061,7.796279579040617,A street is busy,New policies were implemented by the manager.
8.053949022574065,8.084104212985068,6.011767681461693,8.074690899197277,7.37545656541821,7.7789855209692265,8.683236034313106,The destination was sought.,Engineers designed structures expertly
8.461407157988099,8.472815208227178,6.676984229453603,8.47363724989642,8.765202752082239,8.698767491481702,9.275107509164895,The beetles did not crawl on the ground.,The third-grader could have solved a math problem.
8.271077730846896,8.26013382054278,6.332852952487762,8.282462235988916,8.133013318757932,7.6437949156632525,8.105866504139309,They may need help.,The verdict was guilty.
8.921515412860227,8.951038250288738,6.953749286385256,8.921196167160677,8.373116760230829,8.831906056535589,9.638338964465285,The fashion shoot was expertly captured by the photographer., The person is walking along the beach.
7.732919027075843,7.7200008026791345,5.997507429999774,7.7337958426996165,8.041584065927175,7.975172365766112,7.592082815065318,The fox hunted in the forest,Grass is green.
7.323790370404409,7.316674940559307,5.7788742327277305,7.3352040782006425,6.989571870050174,6.958351909943781,7.906592000488787,The profitability was improved.,The resolution was satisfactory.
6.754005556968712,6.78920375318279,5.558254225524196,6.769662341649432,8.090415277904233,8.120505620230361,7.899735550829709,A commitment was honored.,The team is effective.
8.97397408170853,8.994737114681623,6.648557861529419,8.960202208928301,8.064215298539425,7.881640344257065,9.089298856225872,The development was rapid.,The tuna is on the sandwich.
7.022585153470163,7.042879505092883,5.358253838169139,7.016061658498912,7.473215854281381,6.673453191201662,7.653261179820038,The knowledge was gained.,The ice melted
8.404857986273715,8.428484162587614,5.719561523782134,8.406904484485155,7.035964334400807,6.649122293599112,8.34807061347903, He worked extremely long hours this week., The mood is downcast.
8.999389537743733,9.003963351539486,6.215362835184287,8.98915836809061,7.64821009474876,8.112923212861688,8.438452610673812,The opportunities are plentiful., The restaurant is terrible.
7.730278336272375,7.743175841556457,5.4268140430002445,7.7599245353870545,6.199199344549728,7.164016668502542,6.5573182850622285,She designed beautiful clothes.,The concert was spectacular.
8.188823164466513,8.202084818068386,6.260925013832391,8.2342876864324,7.630007811457135,7.908506714310728,7.761490946666647,The organizers reviewed the feedback., The software is remarkably user-friendly.
8.11552763941317,8.147977493990455,7.010651430228615,8.115855380214414,8.269256711870247,7.622994978018732,9.152085805640752,The path was obvious., The deer grazed near the meadow.
7.501115646225541,7.488563064461992,5.742779538636769,7.492160476840613,6.928696042482256,7.776504104520131,7.102272921130292,He read at least 15 chapters.,The cheese was sharp.
9.479606875393811,9.504369591179218,6.198734712653304,9.47980362286244,8.236132928764219,9.346321461128596,8.757771850869787,The waiter served the food.,The producer created a successful television show.
9.266133684720005,9.26792179236138,5.590995602065468,9.265451520206739,9.86381419900938,11.059439699733,13.388727937706435,They are students.,The salesperson made a sale.
9.347859791647158,9.377808722934876,6.083942482866952,9.349379823930654,6.827960108269162,6.82659947175226,6.979869945102921,The swans glided elegantly,The coach motivated the team.
