baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,Sentence1,Sentence2
0.9234020150659917,0.943915352000414,0.954667174440488,0.922038963835347,The feeling is overwhelming., The feeling is very overwhelming.
0.7812690793271142,0.8103233224628532,0.8404322475412104,0.7822957516893158,The existence is fleeting., The existence is somewhat fleeting.
0.8371840968620139,0.8792752600697021,0.8859948414410169,0.831469400908273,The path is clear., The path is remarkably clear.
0.8980747262483785,0.9214937962591574,0.9262588823070652,0.8917540850245375,The rebuilding was difficult., The rebuilding was extremely difficult.
0.9449876031088822,0.9694442665165739,0.9721884610051792,0.9411660367589616,The temperature is comfortable., The temperature is very comfortable.
0.9051901483588302,0.9255168914993911,0.9266586942275394,0.904731370294508,The calm was deceptive., The calm was surprisingly deceptive.
0.9176372738032395,0.9497403116091436,0.9589450974020378,0.9124814612820591,The weather was cold., The weather was extremely cold.
0.8981601364456775,0.9256996112450706,0.9415402385345731,0.884979040250174,The art is expressive., The art is very expressive.
0.8973763317849424,0.9138659106172746,0.9330944469176605,0.8955005601614374,The plane is large., The plane is extremely large.
0.9204720014878262,0.943779424705261,0.9470045496756854,0.9145240988479655,The system is complex., The system is extremely complex.
0.9326312660582189,0.9449255278981069,0.9498045293258548,0.9265102702847607,The giraffe is tall., The giraffe is very tall.
0.92549327504275,0.9342249832984479,0.9406929364209042,0.9169770827131357,The animals are playful., The animals are incredibly playful.
0.9501459507945298,0.9679939651057851,0.9645539760981046,0.9444789041797221,The earthquake was powerful., The earthquake was extremely powerful.
0.9005403699439799,0.9270128204746358,0.9343849753619494,0.892490246636789,The lesson is difficult., The lesson is extremely difficult.
0.9163790919809145,0.9470955613329817,0.9481007019414651,0.9126821381621362,The collaboration is productive., The collaboration is extremely productive.
0.9013660258787284,0.9360606527715258,0.9437075948012488,0.9016438283095639,The snow is heavy., The snow is extremely heavy.
0.9686022366984577,0.9811227082364031,0.9815076000939954,0.9606526591833539,The craftsmanship is superb., The craftsmanship is very superb.
0.912022525886453,0.9383286193150625,0.9383767644124839,0.9063727104731293,The water is clean., The water is remarkably clean.
0.9162395202105724,0.9363947065543332,0.9424244282130809,0.909100162439702,The milkshake was thick., The milkshake was extremely thick.
0.8966155501200999,0.9314815517656767,0.941617859253997,0.8974790172368733,The music is loud., The music is extremely loud.
0.9365173330264396,0.9619354091751587,0.966758601869886,0.9308828801153222,The perspective is unique., The perspective is very unique.
0.9634912079071268,0.9789428930075555,0.9778008405228975,0.9605260021265518,The burger is juicy., The burger is incredibly juicy.
0.9216394603863174,0.9398530452433922,0.9460142405850592,0.9139025480830674,The assignment is challenging., The assignment is extremely challenging.
0.9265820158330101,0.9378656185834469,0.9407872160523086,0.9196632985389636,The plot is simple., The plot is surprisingly simple.
0.8339397829282158,0.8491659880410917,0.8460433169709611,0.8355455845734933,The sea is rough., The sea is slightly rough.
0.9677459171374077,0.9735928390706226,0.9747298802500641,0.955757749050008,The soil is fertile., The soil is very fertile.
0.9388378791568942,0.9620670965699525,0.9612600056395423,0.9349935695254779,The situation is critical., The situation is extremely critical.
0.9301842486576866,0.9615848797957115,0.9622536340854797,0.9285210673915947,The understanding is deep., The understanding is very deep.
0.9534852339828094,0.9654583047222141,0.9725418068540606,0.9474738117453549,The driving is difficult., The driving is very difficult.
0.9458698651822625,0.9639796769541404,0.9650811300301458,0.9401806702253874,The support is unwavering., The support is very unwavering.
0.9619679783224704,0.9695077441629211,0.9719155185152766,0.951275166944316,The evidence is conclusive., The evidence is very conclusive.
0.9552118646007913,0.9656507268584454,0.9695998100441385,0.9422780002419652,The interface is intuitive., The interface is very intuitive.
0.9378813548141401,0.9498919800219272,0.955149140172316,0.9330995219159813,The authority was absolute., The authority was very absolute.
0.9296117546401462,0.9488560659734083,0.9521953359625757,0.922481134496467,The company was enjoyable., The company was incredibly enjoyable.
0.869041074168724,0.8791612135909697,0.8898307279499043,0.8651892517050692,The task is finished., The task is nearly finished.
0.9230714690591926,0.9466575278330465,0.9525817643666687,0.916858603543069,The hike is long., The hike is very long.
0.9124933745936232,0.9372870432655396,0.9439850563499542,0.9019933532178732,The bathroom is old., The bathroom is quite old.
0.9677932487301557,0.9826460334218458,0.9813275842880111,0.9619469990282847,The fans were passionate., The fans were extremely passionate.
0.8772672439283786,0.9159325706974544,0.925729435407348,0.8761855499865232,The road is icy., The road is extremely icy.
0.9598031686295951,0.9799191674897136,0.9786465073020907,0.9548329647947006,The sunset is gorgeous., The sunset is incredibly gorgeous.
0.8860116738525019,0.919465791368949,0.9331614174031604,0.8817133018155308,The answer is correct., The answer is extremely correct.
0.9241821674762654,0.9367923510145579,0.9407215777742135,0.9142246958642993,The evidence is strong., The evidence is remarkably strong.
0.944374771516475,0.956513501522793,0.9580597389237308,0.9319458681896766,The ice cream is creamy., The ice cream is extremely creamy.
0.921268960657951,0.9423762589307701,0.9500914442136369,0.9164835309729088,The assignment is challenging., The assignment is very challenging.
0.906656204531069,0.9175891177623415,0.920534461296749,0.8990123887180268,The tea is warm., The tea is slightly warm.
0.9156666032445681,0.9449791799045694,0.9552851065099348,0.9119270707038476,The art is beautiful., The art is extremely beautiful.
0.9222849088895257,0.9499810915211715,0.960003363863338,0.9177700061029995,The family is loving., The family is incredibly loving.
0.892960094743656,0.916290568064619,0.9221432127847755,0.888784013212655,The development was rapid., The development was extremely rapid.
0.9093624908763345,0.9358996253881603,0.9370577543833813,0.9083577029021914,The flight was smooth., The flight was remarkably smooth.
0.9277099179086223,0.9363168117933075,0.94256643845924,0.9184361749734387,The lion is sleeping., The lion is deeply sleeping.
0.9021021714079422,0.9129340460167955,0.9128680977041514,0.8938756342901849,The film was boring., The film was somewhat boring.
0.9145846607465813,0.9279873699151027,0.9351781973068861,0.9059685323723494,The view is breathtaking., The view is extremely breathtaking.
0.851029120540867,0.8901813807679391,0.8997015695733717,0.8464285524615602,The city is crowded., The city is extremely crowded.
0.9473699352211197,0.9653659184665077,0.9691672121256847,0.9368033598520642,The celebration was joyous., The celebration was very joyous.
0.9515595075243062,0.9546091795143256,0.962052029825101,0.9446902912121231,The story is captivating., The story is utterly captivating.
0.9717273378290363,0.9798749643765441,0.979143548978811,0.9584474088516137,The results are promising., The results are extremely promising.
0.9625134051448112,0.9619077566134664,0.9614509769515452,0.9561868589897258,The consequence was severe., The consequence was very severe.
0.8752439870400701,0.8970829084856176,0.9077860872433511,0.8637317621254472,She is intelligent., She is exceptionally intelligent.
0.8235818421635874,0.8354599417286487,0.8438518329868503,0.8165549856809953,The trip is expensive., The trip is slightly expensive.
0.924167772333138,0.9367987808578513,0.9408657036682357,0.9203963792399772,The lizard is scaly., The lizard is remarkably scaly.
0.9656721799046237,0.9711270261423777,0.9723129084645505,0.9604417801520908,The results are promising., The results are very promising.
0.8224566775574786,0.8316577724047822,0.8469382635505641,0.8168607017128718,The climb is challenging., The climb is incredibly arduous.
0.9663977746426315,0.9850619139533688,0.983139774239411,0.954832290753977,The evidence is compelling., The evidence is extremely compelling.
0.8650274775419124,0.9046983642025599,0.9204703008830056,0.8580454839171396,The waves are high., The waves are extremely high.
0.9279946844785194,0.9446000119482186,0.9532497171961393,0.9207840618724581,The change was dramatic., The change was very dramatic.
0.8980117927796856,0.9202586674005648,0.9278782689636655,0.8920535066588895,The neighborhood is quiet., The neighborhood is remarkably quiet.
0.940817397934343,0.959305892593002,0.9650766750779316,0.9389133057451879,The damage was extensive., The damage was extremely extensive.
0.8933274639940159,0.9176144786602143,0.9243760056290291,0.8842384748052459,The ride is cheap., The ride is surprisingly cheap.
0.8898410270503536,0.9238575753142451,0.9234050675805692,0.8862706688116552,The trees are tall., The trees are impressively tall.
0.928670790942433,0.9468007850481743,0.949542960171331,0.9229357671316145,The proof is sufficient., The proof is very sufficient.
0.9303576346307929,0.9452370737998442,0.9481753546268447,0.9276110018001329,The meeting is productive., The meeting is very productive.
0.9581438903471015,0.971582596032839,0.9736089243063637,0.9475848060274609,The room was spacious., The room was very spacious.
0.9299901965267722,0.9539524302632347,0.9584876504574786,0.9169625535845451,The tactics were innovative., The tactics were extremely innovative.
0.9019991037153632,0.9436759046512029,0.9492074585236412,0.8978195314361572,The way is difficult., The way is extremely difficult.
0.9303087081292754,0.9594266904925206,0.9640582754928138,0.9250826045496292,The instructions are easy., The instructions are very easy.
0.8844652087900888,0.9118727400981346,0.9284692581812106,0.8848333013035028,The solution is simple., The solution is extremely simple.
0.8764740960179973,0.9049511489695818,0.9137454141284103,0.8712241730346079,The pressure was low., The pressure was surprisingly low.
0.9480301658375883,0.9627601540899432,0.9634777815883723,0.9431361314856217,The instructions are easy to understand., The instructions are remarkably easy to understand.
0.8741487650102875,0.9072981741432794,0.9235891173032138,0.8647395212613094,The strategy was effective., The strategy was very effective.
0.9444801205181637,0.9646935262792011,0.9656296033030431,0.9435157365556976,The vegetables are crunchy., The vegetables are extremely crunchy.
0.8658625582517487,0.8857545019490043,0.8834610429975391,0.8573370353334522,The silence was broken., The silence was abruptly broken.
