baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
0.8781494865064661,0.8674644152830482,0.8872468748391078,0.8691263025558218,0.8381572983510196,0.8138284698140773,0.8267456780598179,The attendees left feeling informed.,The attendees left with a feeling of being informed.
0.9194048000226587,0.9402588016400018,0.9435359774804392,0.9148327650826475,0.9681894294093373,0.9518068118846341,0.966842187630394,The plumber expertly repaired the leaking pipes.,The leaking pipes were expertly repaired by the plumber.
0.9249968054326986,0.9433927645764901,0.9475372785064883,0.9195559899108817,0.9501947090930147,0.9397641437119071,0.9391402095211281,The painter carefully applied the paint to the canvas.,The paint was carefully applied to the canvas by the painter.
0.935769453437219,0.9447806001636749,0.9570410032547211,0.9311742144612764,0.9695742024540568,0.9574219986274957,0.9632512278280538,The participants built valuable connections.,Valuable connections were built by the participants.
0.8611624137711795,0.8978314615406328,0.8992754767421441,0.856847157619455,0.9149645014299088,0.8884022663287799,0.8960540091718339,The distributor shipped the magazines.,The magazines were shipped by the distributor.
0.9398371647483982,0.9529760556749627,0.9534934655086198,0.937254158538602,0.9616364665021853,0.9675519836035615,0.9595802053582962,The server attentively served the meal.,The meal was attentively served by the server.
0.9310992557350461,0.9589559326635955,0.9513509011844989,0.9236560378523235,0.8911670190917049,0.8806752768851993,0.8828040865087381,The yoga instructor guided the students.,The students were guided by the yoga instructor.
0.9096507844175618,0.9272513270642462,0.9340187066677255,0.9063417387753347,0.9508435535462594,0.9407026143991233,0.9365967344170485,The sponsors provided funding.,Funding was provided by the sponsors.
0.9301080322085242,0.9536193046947251,0.9562166608778695,0.9265777549892964,0.9668337543658412,0.957557128403925,0.969769987795525,The editor carefully proofread the lengthy manuscript.,The lengthy manuscript was carefully proofread by the editor.
0.8461605818412692,0.8654667846595793,0.8870197264195256,0.8452639490383522,0.9842452654613005,0.9788863756515427,0.9853373961278376,The artist painted a masterpiece.,A masterpiece was painted by the artist.
0.9059099492354923,0.9272494325407945,0.924499480069263,0.8944394502711317,0.9494242455426043,0.9365079102598326,0.9499239421539465,The team effectively implemented their strategy.,Their strategy was effectively implemented by the team.
0.7782852920752451,0.798817428014339,0.8317868728596269,0.7768470358172324,0.8150734753933926,0.8020061328636187,0.773855174062815,The rain fell gently.,Gentle falling was seen in the rain.
0.9345523058269714,0.9417074828183972,0.9506328784488628,0.9298033280472133,0.8953211662529004,0.8983566424368683,0.8891505908973067,The opponent fiercely contested the game.,The game was fiercely contested by the opponent.
0.9267038996489456,0.9317888735511225,0.9357923393363546,0.9223683538861489,0.8910510367323985,0.8618647443737468,0.8749486218243452,The company rewarded its top performers.,Its top performers were rewarded by the company.
0.9508622307233092,0.9629697165784468,0.9664680153706806,0.9469250928705778,0.9548833868941292,0.9450561460507929,0.9536804358118975,The attendees provided valuable feedback.,Valuable feedback was provided by the attendees.
0.9640954436785192,0.9733943364658918,0.9719073819241768,0.9579138194271818,0.9466613720540615,0.9346099201002185,0.9534286676383358,The knitter carefully constructed the intricate design.,The intricate design was carefully constructed by the knitter.
0.8334970032567781,0.853690562610508,0.8497668498491261,0.828665547601491,0.8408004081438644,0.8320958806764955,0.8199279050704473,The runner ran the race.,The race was run by the runner.
0.9536271619980851,0.9698356385156633,0.9677615411027848,0.951324424570915,0.9705653523342141,0.9678883761656099,0.9671159660056737,The jury carefully deliberated the verdict.,The verdict was carefully deliberated by the jury.
0.9497670184989042,0.950926706019045,0.9536803056772504,0.9438264400294307,0.9395559083578879,0.9273396778269378,0.9346873610268305,The recipient gratefully received the package.,The package was gratefully received by the recipient.
0.906835945631452,0.9310210842887445,0.9367778233942488,0.9012482711226744,0.9647532131484683,0.9517400672550211,0.9584262796388372,The pilot landed the airplane safely.,The airplane was landed safely by the pilot.
0.9433919249331109,0.9405521368865373,0.9499893882800494,0.9335252280587427,0.9571745317765683,0.9510555682320567,0.95112548535493,The speakers received positive feedback.,Positive feedback was received by the speakers.
0.8253202092208742,0.8723267918074854,0.8937609446303906,0.8246985624583756,0.9382853610732917,0.927651967684292,0.9236229328248651,The painter mixed the colors.,The colors were mixed by the painter.
0.919197050471966,0.9350132275617168,0.9449762890869982,0.9157877937264876,0.8913072751774225,0.8848251534571335,0.8958759430441026,The engineer mastered the audio.,The audio was mastered by the engineer.
0.9311559313281504,0.9481621051568422,0.9588943733907906,0.9251614550953605,0.9280239886387193,0.9262910847817531,0.917799395669133,The staff ensured a smooth event.,A smooth event was ensured by the staff.
0.8338017981456112,0.881818512676583,0.9021784388537084,0.8341224895524428,0.964659440221339,0.9637389642745935,0.9686742157351518,The pilot landed the plane.,The plane was landed by the pilot.
0.9172173136423892,0.9406404105298874,0.9440166185389632,0.9145271918420399,0.9411648269189821,0.9141272923522697,0.9297279778140264,The commentator described the game.,The game was described by the commentator.
0.873455849717569,0.9076113735013863,0.9223460003800941,0.8715939729262185,0.9739192960726994,0.9664779717885094,0.9677392374251308,The mechanic repaired the engine.,The engine was repaired by the mechanic.
0.923005626283475,0.9363463144869908,0.9430906528112475,0.9191900736663015,0.9314164749730935,0.9267680165768305,0.9347066051363915,The company launched a groundbreaking product.,A groundbreaking product was launched by the company.
0.9442623752838643,0.9610019585578738,0.9587182410127011,0.9391045524316498,0.9665526234217325,0.9586480319406692,0.9563403193668896,The designer creatively conceived the innovative collection.,The innovative collection was creatively conceived by the designer.
0.9526050463861786,0.9753347805162604,0.9759984028080334,0.934424848504482,0.9777839925192575,0.9642906920772432,0.971382922969307,The baker meticulously decorated the cake.,The cake was meticulously decorated by the baker.
0.9422565626205617,0.9374141164283301,0.9437807972845766,0.9395240642149154,0.9798588720298024,0.9780003865127804,0.9832680642866374,The customer received excellent service.,Excellent service was received by the customer.
0.8758093674455212,0.9124210387305305,0.9214194316091644,0.8746963824257759,0.9354899007465431,0.9332843173752394,0.9471445573434649,The dancer choreographed a routine.,A routine was choreographed by the dancer.
0.9410484384029988,0.9570578140021282,0.9589655280889156,0.9366075479762566,0.9618482698938509,0.9567466983163984,0.9656541493571579,The hairstylist expertly styled the hair.,The hair was expertly styled by the hairstylist.
0.9211515001997205,0.9353043032944974,0.9338897710740327,0.9154629252651709,0.9251690253935494,0.9227448997450989,0.9136008561618765,The client implemented changes.,Changes were implemented by the client.
0.9225918151364003,0.9316656974450699,0.9352602829033139,0.9128166535561055,0.8475359026867018,0.8438920212349235,0.8606727272728886,The producer mixed the tracks.,The tracks were mixed by the producer.
0.851865713473213,0.9023989345655068,0.9183793594973407,0.8541599541935248,0.9414615138874006,0.9431163469460297,0.9369028092169718,The professor lectured the class.,The class was lectured to by the professor.
0.9452989867102901,0.9367611755193965,0.9463506283240574,0.9376818523706738,0.9284936938390995,0.9119810914035509,0.9210941090542623,The company achieved record-breaking sales.,Record-breaking sales were achieved by the company.
0.9692752749671303,0.9765862478907125,0.9765821300148236,0.9651343081063968,0.9740343762685356,0.9698284583617727,0.9778588454837001,The paramedic skillfully treated the injuries.,The injuries were skillfully treated by the paramedic.
0.9573784379139826,0.9628772304290543,0.958828676598217,0.9447364114333712,0.969399131334292,0.964951621171113,0.9693072941941293,The tailor flawlessly altered the garment.,The garment was flawlessly altered by the tailor.
0.7733684764073314,0.8095962936028052,0.8457362953228009,0.7746153261532034,0.878549055313316,0.8677163646716549,0.8707056483871245,The shrimp swam quickly.,Quick swimming was performed by the shrimp.
0.9402977185132388,0.9584447071721999,0.9653952148191131,0.933297516590758,0.9763009335476922,0.9757755867979883,0.971743382560474,The baker prepared a delicious cake.,A delicious cake was prepared by the baker.
0.8975959579283117,0.9207947153264857,0.9316055568986452,0.8939935642940124,0.9493031040905727,0.9486627466061859,0.9512195059211379,The gardener planted flowers.,Flowers were planted by the gardener.
0.9287321098340261,0.9538387568733822,0.9563607250992232,0.9252423068973181,0.9521239467170994,0.9517127975986845,0.9383121582271261,The judge delivered the verdict.,The verdict was delivered by the judge.
0.9526758426142862,0.9643925232015809,0.964527084166301,0.9488714821828759,0.976060031925108,0.9671364448235046,0.9660940612556963,The investor obtained a substantial return.,A substantial return was obtained by the investor.
0.8986265058148479,0.9031913454943788,0.9170841363656626,0.8936179023690374,0.9445090773563789,0.9274923270617261,0.9422287809349759,The athlete won the competition.,The competition was won by the athlete.
0.8522372676215576,0.8951546221091526,0.9055120421171221,0.8483346857890841,0.9080145388664711,0.9179850710501889,0.9171661524839019,The driver drove the car.,The car was driven by the driver.
0.9477174622628677,0.9541176738961793,0.9564986880496817,0.9434167539194622,0.8561455465864243,0.8674207031542875,0.8764569651333469,The stadium hosted a record-breaking attendance.,A record-breaking attendance was hosted by the stadium.
0.9444665421697694,0.9527100980980052,0.9607174586324339,0.9386346720116455,0.9473885003274662,0.946041515711931,0.9478116636092839,The company successfully launched the campaign.,The campaign was successfully launched by the company.
0.908084407001869,0.929465673436545,0.9407777241556264,0.9052327351392027,0.9334215276319453,0.9166622430903186,0.9217080524536942,The actor delivered a powerful performance.,A powerful performance was delivered by the actor.
0.965570979728106,0.9610574758994179,0.9618913235016527,0.9592557116630124,0.9045503274997972,0.8913164539327136,0.8873107103896758,The organizers planned a follow-up event.,A follow-up event was planned by the organizers.
0.9149229673355102,0.9300577243387068,0.9301709180353598,0.914034082644775,0.9686763838018624,0.9605388930842249,0.9609317262047158,The teacher graded the exams fairly.,The exams were graded fairly by the teacher.
0.8667739148117739,0.8860999046288816,0.9038926097388635,0.8645369106854401,0.9409069575758919,0.9416542520298192,0.9489475146359627,The nurse compassionately provided care.,Compassionate care was provided by the nurse.
0.8960290065179959,0.9218454662689256,0.9309185653056161,0.8910332298721133,0.9600593948474352,0.9549618690356911,0.9628716291808136,The nurse cared for the patients.,The patients were cared for by the nurse.
0.9015917572454968,0.9276701649872179,0.9339005807456197,0.8944798851799222,0.9251619098743653,0.9134666567328077,0.9263800665800339,The lawyer presented a compelling argument.,A compelling argument was presented by the lawyer.
0.9416200365312274,0.9561548085047321,0.959469434656648,0.9377202481151119,0.9868248781831013,0.9804918973080385,0.9880311937297692,The jury reached a verdict.,A verdict was reached by the jury.
0.8408745264786606,0.8851459291936138,0.8944201822151998,0.8427926311505001,0.9125649255768405,0.9088678568993238,0.8978295799503229,The mouse ate the cheese.,The cheese was eaten by the mouse.
0.9153278686221652,0.9105547119363744,0.912199679252546,0.9098315347259416,0.8956115303249235,0.8906741131982789,0.9113604299143268,The magazine featured the model.,The model was featured by the magazine.
0.8995004529270259,0.9129744322822824,0.92116012992586,0.8919439347771206,0.8746116329135853,0.8830207728112354,0.8659956678058374,The fire warmed the room.,The room was warmed by the fire.
0.8428382186216197,0.8890942149449964,0.9011641932322333,0.8378429046804261,0.9313248968866153,0.9199349955974023,0.930522368365587,The musician played the music.,The music was played by the musician.
0.9410942172028192,0.9398972612727909,0.9440180943385591,0.9391193179117783,0.9699279247614784,0.9681378115750763,0.9699760250334041,The speakers delivered informative presentations.,Informative presentations were delivered by the speakers.
0.9154954728659301,0.9344677576162441,0.9423217524620962,0.9092909555408766,0.9096971065396855,0.8925205060747251,0.8911973429661212,The student understood the lesson.,The lesson was understood by the student.
0.8511311876661725,0.8721737929655351,0.8980458239201322,0.8480891314586184,0.8898184307348455,0.8940912363180509,0.8876471933300947,The dolphin leaped from the water.,The water was leaped from by the dolphin.
0.9047330114394782,0.8576560426383286,0.8733685664298372,0.8974802845909465,0.9517700602446841,0.9503003825228558,0.9568695655285312,The participants benefited from the networking.,Networking benefited the participants.
