baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,Sentence1,Sentence2
0.7986954615689003,0.8272836022675408,0.8732399981309457,0.8002360381690861,A celebration was held,The celebration was held.
0.8448167455594939,0.888088415162773,0.9146409561606541,0.840454338916086,A commitment was made,The commitment was made.
0.6744751768604833,0.7207980672485373,0.7712532072094342,0.681177262689514,The word was honoured,Word was honoured.
0.8404794254300605,0.8648893547983614,0.8859602062287893,0.8419275742096018,The answer was clear,Answer was clear.
0.8583355127500918,0.8713018736903748,0.856349338912978,0.8455182677201707,A match was played,The match was played.
0.8071357031365246,0.8484282681990134,0.873324024490862,0.8019663707196351,The objective was met,Objective was met.
0.882434915977089,0.9265498981833913,0.9276133456476994,0.8763741947031289,The work was progressing,Work was progressing.
0.8717441591994529,0.9069238861424944,0.9222102986339871,0.8644141542236425,A promise was made,The promise was made.
0.8619960298855034,0.8976029303937223,0.9211255221460964,0.8656461280028809,A compassion was expressed,The compassion was expressed.
0.8016817101116882,0.8460089028271074,0.8620651775987075,0.8043901858264484,A park was quiet,The park was quiet.
0.9010636270351298,0.9329584392080016,0.9380759117765234,0.8975471485375424,A path was chosen,The path was chosen.
0.8743983155478892,0.8839720045318773,0.9024016713918093,0.8687311321705694,The flowers are colorful,Flowers are colorful.
0.838172232828709,0.873272233135348,0.896310219173823,0.835577551591191,The speech was engaging,Speech was engaging.
0.8762465789285994,0.8986931749310401,0.9137401101212437,0.8768470207309977,A difficulty was navigated,The difficulty was navigated.
0.7735689262088272,0.8380684270878356,0.8645727588248006,0.7751986445538223,The solution was effective,A solution was effective.
0.8021378451379181,0.8487342971984108,0.8755940748010858,0.8035442300907567,A challenge was overcome,The challenge was overcome.
0.7878228843440891,0.8418532395212506,0.8812255235735473,0.7927471496943026,A challenge was met,The challenge was met.
0.811708915220172,0.8595710429079069,0.8827373317240899,0.813394988668823,A potential was unlocked,The potential was unlocked.
0.8311617026645396,0.8682630190589693,0.8809530357397863,0.8295829025154564,A moment was cherished,The moment was cherished.
0.8958322768463916,0.9270732453952144,0.9084819655704343,0.9005131227146586,A cook stirred the pot,The cook stirred the pot.
0.7190816522473409,0.7735451384303769,0.8177939532475624,0.7213596991976217,A moment lingered,The moment lingered.
0.8807972293186831,0.8974865525674701,0.8917877415050893,0.8703154006563855,A rabbit scurried through the field,The rabbit scurried through the field.
