baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
5.809053371334131,4.907487515378559,4.587638979172906,5.854725607612206,2.393481627693332,2.258170303269161,2.1924948227145196,He planted approximately 30 flowers., He planted several flowers.
5.985822468847957,5.074819593037569,4.683515034419951,5.991919899494437,3.0718590149396183,3.404111936555224,4.123478495143521,He planted approximately 60 flowers., He planted several flowers.
3.936556823143625,3.6116753039883953,3.235978475783236,4.0304862214722155,1.142940005639668,0.954693769416224,3.350361137440046,She read at least 90 books last year., She read many books last year.
3.628060500564385,3.203667096380766,3.4346555551216897,3.8342976923297405,3.592036387929827,3.3745550348825155,4.016940555668983,She baked around 140 cupcakes for the sale., She baked a large quantity of cupcakes for the sale.
4.032996675198302,3.3517452829435497,3.5010395656746653,4.172588393408788,3.051830191486115,2.880182789889382,5.810729943716076,The library has over 8000 books., The library has a vast collection of books.
4.3444879447789555,3.459048171926768,3.2654007532846303,4.5061092252805475,1.844432064701892,1.78362909444878,1.785377697113767,There are around 400 apples in the orchard., There are many apples in the orchard.
3.824334032075326,3.4672700725657286,3.7322312866168237,3.957382169852298,1.509513819261435,1.3756114405685573,4.685464535155177,The garden contains approximately 60 roses., The garden has numerous roses.
4.886457169761111,3.7292210312974854,3.713169212025663,4.857557264924194,3.4355948989691116,3.2734946796629867,4.301033210401018,He planted approximately 120 trees in the forest., He planted a large number of trees in the forest.
5.577270235326386,4.71115990980741,4.436480449877808,5.602153149164117,1.09039236984382,0.9822663584288396,8.863512647783736,The restaurant served about 1100 customers., The restaurant served many customers.
4.440855242291228,4.627217622153751,4.558215448271044,4.529961010887978,3.723232701863319,3.5365134629132484,4.0166582906853145,The student answered 5 questions correctly., The student got most of the questions correct.
5.344079690163691,4.590038834051668,4.081016375758422,5.300666929095239,2.015515222384073,2.105670483710066,4.630758473654483,I have 22 dogs., I have a very large number of dogs.
3.8436581072287903,3.910447724693943,3.5767436729743385,3.9859501758593225,3.0737588788881496,3.4906687093439,6.1839580320578715,He wrote two essays., He wrote a few essays.
4.9649238457359175,4.1244514029930315,3.9631300244940957,5.000979669337922,1.0335681300179536,0.6619866427455571,8.15318648506698,The baker sold over 350 loaves of bread., The baker sold a large quantity of bread.
4.803240558367643,4.573249940981874,4.376841798024159,4.789130790812583,2.239459191496626,1.9820853922274677,2.9329198535415273,He read at least 50 chapters., He read a substantial portion of the book.
6.228194677154046,5.645058033488875,5.047843661640583,6.290153705087094,4.757049467814165,4.71790176772047,6.684665329995611,Approximately 1100 birds were seen migrating south., A massive flock of birds migrated south.
4.88601797629715,4.147267310032728,3.7503472900689716,4.968683825365103,1.5746171846074146,1.2431433639290574,4.057623306575236,I have more than 50 cats., I have a large number of cats.
4.30284103065892,3.992216512781433,3.6061848056581516,4.5863510993448156,1.8052027084880309,1.6341178460176242,3.3201243331297556,The company hired 75 employees., The company hired many employees.
5.265315630023203,4.584509498048843,4.062387563040617,5.313474562866953,1.5981305167007336,1.4091796748707808,4.135415920615441,I have 24 dogs., I have a very large number of dogs.
4.950739678289486,4.350193356063482,4.092006223300764,5.087236772265897,2.1536309947042724,2.574792609300708,6.423181137207585,He wrote around 100 essays., He wrote numerous essays.
