Sentence1,Sentence2
There are three apples on the table., There are many apples on the table.
5 people were in the room, 30 people were in the room
I ate two cookies., I ate several cookies.
She has one cat., She has numerous cats.
He bought four books., He bought a few books.
There were ten cars in the parking lot., There were a lot of cars in the parking lot.
Only two students passed the exam., Few students passed the exam.
We saw five birds., We saw a couple of birds.
The garden has seven roses., The garden has some roses.
He drank one glass of water., He drank a lot of water.
They found two seashells., They found a handful of seashells.
There were twelve chairs in the room., There were plenty of chairs in the room.
I have three pairs of shoes., I have several pairs of shoes.
She baked six cakes., She baked many cakes.
He read two chapters., He read a number of chapters.
There are twenty trees in the forest., There are countless trees in the forest.
The bowl has five oranges., The bowl has a few oranges.
I bought three bananas., I bought some bananas.
She collected four stamps., She collected a small number of stamps.
He wrote ten pages., He wrote quite a few pages.
There are seven days in a week., There are a certain number of days in a week.
They found two coins., They found some coins.
The store has six apples., The store has a limited number of apples.
We ate four slices of pizza., We ate quite a few slices of pizza.
The team scored two goals., The team scored a few goals.
She sang three songs., She sang a couple of songs.
He answered five questions., He answered several questions.
There are ten stars in the sky., There are many stars in the sky.
I have three dollars., I have a little money.
She walked two miles., She walked a short distance.
He made four calls., He made a few calls.
There are five birds in the tree., There are some birds in the tree.
We saw two movies., We saw a couple of movies.
They bought three houses., They bought a few houses.
The teacher graded ten papers., The teacher graded many papers.
He ate two sandwiches., He ate several sandwiches.
She drank three cups of coffee., She drank a lot of coffee.
There are twelve months in a year., There are a number of months in a year.
I received three emails., I received some emails.
She wore two bracelets., She wore a few bracelets.
He built four birdhouses., He built a number of birdhouses.
There are ten players on the team., There are many players on the team.
I read two books., I read a couple of books.
She baked four pies., She baked several pies.
He planted five trees., He planted some trees.
There are twenty students in the class., There are numerous students in the class.
I lost three buttons., I lost a few buttons.
She found four shells., She found some shells.
He collected seven stamps., He collected a small collection of stamps.
There are six flowers in the vase., There are several flowers in the vase.
I bought three shirts., I bought a few shirts.
She read four magazines., She read quite a few magazines.
He wrote five letters., He wrote some letters.
There were ten people at the party., There were many people at the party.
I ate two pieces of cake., I ate a small amount of cake.
She drank three glasses of juice., She drank a lot of juice.
He spent four hours studying., He spent many hours studying.
There were five cars in the garage., There were some cars in the garage.
I answered two questions correctly., I answered a few questions correctly.
She baked three cookies., She baked a couple of cookies.
He wrote two poems., He wrote a few poems.
There are seven days in a week., There are a fixed number of days in a week.
I have three pens., I have some writing instruments.
She bought four dresses., She bought some clothing items.
He read two articles., He read a couple of articles.
There are ten apples in the basket., There are several apples in the basket.
I ate two slices of bread., I ate a couple of slices of bread.
She drank three cups of tea., She drank some tea.
He wrote two songs., He wrote a few songs.
There are five birds singing., There are several birds singing.
I have three dogs., I have some pets.
She bought four pairs of socks., She bought some hosiery.
He read two chapters of the book., He read a portion of the book.
There are ten fish in the pond., There are numerous fish in the pond.
I ate two bowls of soup., I ate several bowls of soup.
She drank three bottles of water., She drank a large quantity of water.
He wrote two essays., He wrote a few essays.
There are five houses on the street., There are a number of houses on the street.
I have three cats., I have some feline companions.
She bought four pairs of pants., She bought a few pairs of pants.
He read two novels., He read a couple of novels.
There are ten books on the shelf., There are many books on the shelf.
The farmer has 20 sheep., The farmer has many sheep.
There are 15 birds in the tree., There are several birds in the tree.
I received 5 emails., I received a handful of emails.
She baked 12 cookies., She baked dozens of cookies.
He planted 30 trees., He planted numerous trees.
There are 10 cars in the parking lot., There are a lot of cars in the parking lot.
I read 2 chapters., I read a small portion of the book.
She ate 6 apples., She ate a few apples.
He drank 4 glasses of water., He drank quite a bit of water.
There were 100 people at the concert., There was a huge crowd at the concert.
I collected 15 stamps., I have a small collection of stamps.
She wrote 7 pages., She wrote a few pages.
He answered 8 questions correctly., He answered most of the questions correctly.
There are 50 stars visible., There are countless stars in the sky.
I bought 3 shirts., I bought some new shirts.
She baked 2 cakes., She baked a couple of cakes.
He planted 4 flowers., He planted a few flowers.
There are 25 students in the class., There are a large number of students in the class.
I have 2 dogs., I have a couple of dogs.
She read 5 books., She read several books.
He wrote 3 poems., He wrote some poems.
There were 12 chairs in the room., There were plenty of chairs in the room.
I ate 4 slices of pizza., I ate a fair amount of pizza.
She drank 3 cups of coffee., She drank a considerable amount of coffee.
He spent 5 hours working., He spent a good chunk of the day working.
There are 20 houses on the street., There are approximately twenty houses on the street.
I have 6 pens., I have a few writing implements.
She bought 4 dresses., She bought some new outfits.
He read 3 articles., He read some articles.
There are 15 apples in the basket., There's a good amount of apples in the basket.
I ate 2 slices of bread., I ate a small portion of the bread.
She drank 3 cups of tea., She drank some tea.
He wrote 2 songs., He wrote a couple of songs.
There are 10 birds singing., There's a chorus of birds singing.
I have 7 cats., I have many cats.
She bought 8 pairs of socks., She bought lots of socks.
He read 4 chapters of the book., He read a significant portion of the book.
There are 30 fish in the pond., There are numerous fish in the pond.
I ate 5 bowls of soup., I ate a large quantity of soup.
She drank 6 bottles of water., She drank a great deal of water.
He wrote 4 essays., He wrote several essays.
There are 25 houses on the street., There are quite a few houses on the street.
I have 8 cats., I have a lot of cats.
She bought 5 pairs of pants., She bought several pairs of pants.
He read 3 novels., He read some novels.
There are 100 books on the shelf., There are a vast number of books on the shelf.
The team scored 3 goals., The team scored a few goals.
The chef prepared 12 dishes., The chef prepared many dishes.
The store sold 20 shirts., The store sold a significant number of shirts.
The garden contains 5 roses., The garden has several roses.
The library has 1000 books., The library houses thousands of books.
The artist painted 15 pictures., The artist created numerous paintings.
The farmer harvested 50 bushels of wheat., The farmer harvested a substantial amount of wheat.
The teacher assigned 10 problems., The teacher assigned several problems.
The student answered 5 questions correctly., The student got most of the questions correct.
The musician played 12 songs., The musician played a number of songs.
The company hired 25 employees., The company hired many employees.
The author wrote 3 chapters., The author wrote several chapters.
The scientist conducted 10 experiments., The scientist conducted many experiments.
The baker sold 50 loaves of bread., The baker sold a large quantity of bread.
The store had 20 apples., The store had quite a few apples.
The park contained 100 trees., The park had countless trees.
The classroom held 30 students., The classroom was filled with students.
The concert attracted 500 people., The concert drew a large crowd.
The museum displayed 50 artifacts., The museum displayed many artifacts.
The library held 2000 books., The library housed numerous books.
The restaurant served 100 customers., The restaurant served many customers.
The school enrolled 500 students., The school enrolled a large number of students.
The city had 1 million residents., The city had a huge population.
The company produced 2000 products., The company produced thousands of products.
The farm raised 1000 chickens., The farm raised a large flock of chickens.
There are 75 birds in the sky., There are many birds in the sky.
I ate 12 cookies., I ate a dozen cookies.
She read 25 books., She read numerous books.
He wrote 50 pages., He wrote a significant number of pages.
There were 20 cars in the parking lot., There were a good number of cars in the parking lot.
I saw 15 squirrels., I saw several squirrels.
She collected 30 stamps., She collected a large collection of stamps.
He planted 45 trees., He planted dozens of trees.
There were 100 people at the party., There was a huge crowd at the party.
I answered 22 questions correctly., I answered most of the questions correctly.
She baked 36 cupcakes., She baked a lot of cupcakes.
He spent 15 hours studying., He spent many hours studying.
There are 50 stars visible., There are countless stars in the sky.
I bought 6 pairs of shoes., I bought several pairs of shoes.
She wrote 10 poems., She wrote quite a few poems.
He planted 8 flowers., He planted a few flowers.
There are 75 students in the class., There are numerous students in the class.
I have 4 dogs., I have a few dogs.
She read 15 books., She read a considerable number of books.
He wrote 12 essays., He wrote several essays.
There were 100 chairs in the auditorium., There were ample chairs in the auditorium.
I ate 10 slices of pizza., I ate a large amount of pizza.
She drank 8 cups of coffee., She drank a lot of coffee.
He spent 20 hours working., He spent a considerable amount of time working.
There are 50 houses on the street., There are approximately fifty houses on the street.
I have 12 pens., I have quite a few pens.
She bought 10 dresses., She bought many dresses.
He read 18 articles., He read a good number of articles.
There are 75 apples in the basket., There's a large quantity of apples in the basket.
I ate 8 slices of bread., I ate a large portion of the bread.
She drank 10 cups of tea., She drank a significant amount of tea.
He wrote 15 songs., He wrote a good number of songs.
There are 60 birds singing., There is a large flock of birds singing.
I have 10 cats., I have many cats.
She bought 12 pairs of socks., She bought many pairs of socks.
He read 6 chapters of the book., He read a substantial part of the book.
There are 80 fish in the pond., There are a multitude of fish in the pond.
I ate 15 bowls of soup., I ate a huge quantity of soup.
She drank 12 bottles of water., She drank an excessive amount of water.
He wrote 20 essays., He wrote many essays.
There are 100 houses on the street., There are numerous houses on the street.
I have 15 cats., I have a lot of cats.
She bought 8 pairs of pants., She bought several pairs of pants.
He read 10 novels., He read a good number of novels.
There are 200 books on the shelf., There are a vast number of books on the shelf.
The team scored 5 goals., The team scored several goals.
The chef prepared 25 dishes., The chef prepared many dishes.
The store sold 50 shirts., The store sold a large number of shirts.
The garden contains 10 roses., The garden has many roses.
The library has 2000 books., The library has thousands of books.
The artist painted 30 pictures., The artist created many paintings.
The farmer harvested 100 bushels of wheat., The farmer harvested a large amount of wheat.
The teacher assigned 15 problems., The teacher assigned many problems.
The student answered 10 questions correctly., The student answered a large portion of the questions correctly.
The musician played 20 songs., The musician played numerous songs.
The company hired 50 employees., The company hired many employees.
The author wrote 5 chapters., The author wrote several chapters.
The scientist conducted 15 experiments., The scientist conducted many experiments.
The baker sold 100 loaves of bread., The baker sold a large quantity of bread.
The store had 30 apples., The store had many apples.
The park contained 150 trees., The park had numerous trees.
The classroom held 35 students., The classroom was full of students.
The concert attracted 1000 people., The concert drew a huge crowd.
The museum displayed 100 artifacts., The museum displayed many artifacts.
The library held 5000 books., The library housed thousands of books.
The restaurant served 200 customers., The restaurant served many customers.
The school enrolled 750 students., The school enrolled a large number of students.
The city had 2 million residents., The city boasted a huge population.
The company produced 5000 products., The company produced many products.
The farm raised 2000 chickens., The farm raised a large number of chickens.
The bakery sold 100 croissants., The bakery sold many croissants.
The orchard produced 500 apples., The orchard produced a large harvest of apples.
There were 150 birds flying., There were numerous birds flying.
I ate 20 cookies., I ate a large number of cookies.
She read 40 books., She read many books.
He wrote 75 pages., He wrote a substantial amount of text.
There were 30 cars in the parking lot., There were quite a few cars in the parking lot.
I saw 25 squirrels., I saw several squirrels.
She collected 50 stamps., She has an extensive stamp collection.
He planted 60 trees., He planted a large number of trees.
There were 200 people at the party., There was a massive crowd at the party.
I answered 30 questions correctly., I answered the majority of the questions correctly.
She baked 50 cupcakes., She baked a great many cupcakes.
He spent 25 hours studying., He spent a considerable amount of time studying.
There are 100 stars visible., There are countless stars in the night sky.
I bought 8 pairs of shoes., I bought several pairs of shoes.
She wrote 15 poems., She wrote a collection of poems.
He planted 12 flowers., He planted a few flowers.
There are 100 students in the class., The classroom is full of students.
I have 6 dogs., I have several dogs.
She read 20 books., She read many books.
He wrote 18 essays., He wrote a significant number of essays.
There were 150 chairs in the auditorium., There were plenty of chairs in the auditorium.
I ate 15 slices of pizza., I ate a lot of pizza.
She drank 12 cups of coffee., She drank a large amount of coffee.
He spent 30 hours working., He dedicated a significant portion of his time to work.
There are 75 houses on the street., There are approximately seventy-five houses on the street.
I have 18 pens., I have many pens.
She bought 15 dresses., She bought a large number of dresses.
He read 25 articles., He read quite a few articles.
There are 100 apples in the basket., There is a large quantity of apples in the basket.
I ate 12 slices of bread., I ate a significant portion of the bread.
She drank 15 cups of tea., She drank a large amount of tea.
He wrote 20 songs., He wrote numerous songs.
There are 80 birds singing., A large flock of birds are singing.
I have 12 cats., I have many cats.
She bought 18 pairs of socks., She bought lots of socks.
He read 8 chapters of the book., He read a substantial part of the book.
There are 100 fish in the pond., The pond is teeming with fish.
I ate 20 bowls of soup., I ate an enormous amount of soup.
She drank 18 bottles of water., She drank a vast quantity of water.
He wrote 25 essays., He wrote a large number of essays.
There are 150 houses on the street., There are countless houses on the street.
I have 20 cats., I have a lot of cats.
She bought 10 pairs of pants., She bought several pairs of pants.
He read 15 novels., He read many novels.
There are 300 books on the shelf., There are a huge number of books on the shelf.
The team scored 7 goals., The team scored many goals.
The chef prepared 35 dishes., The chef prepared a large number of dishes.
The store sold 75 shirts., The store sold a considerable number of shirts.
The garden contains 15 roses., The garden has many roses.
The library has 5000 books., The library has thousands of books.
The artist painted 40 pictures., The artist created many paintings.
The farmer harvested 150 bushels of wheat., The farmer had a bountiful wheat harvest.
