Sentence1,Sentence2
The teacher graded the papers.,The crew worked diligently on set.
He spent roughly 20 hours working on the project., The landscape is incredibly dramatic.
The skis glide effortlessly,They learn rapidly
The cardinals flash red,The business model might have been successful.
I have 4 dogs., He is capable of repairing the washing machine.
They sound excited,The farmer has 20 sheep.
 A long flight is anticipated.,The packing could have been tedious.
The landscaper mowed the lawn.,The researcher conducted a thorough study.
 The answer is perfectly correct.,The building was built by the contractor.
The seals did not gracefully balance on the ice floes.,The dragonfly elegantly captured its prey.
The swans glided elegantly,The coach motivated the team.
The witness did not testify truthfully,The researcher conducted the study.
He celebrated the company's success.,The environment is clean.
We oscillated regularly,She decelerates smoothly
Monkeys swung playfully,The threat could have been neutralized.
The impact was far-reaching.,The bears hibernated peacefully.
The innovation is groundbreaking.,A black hole warped space-time
A conversation was started,The cameraman shoots footage
The film was edited by the editor., The aroma was very pleasant.
The damage was minimal.,A forgiveness was granted
The company produced over 40000 products.,The community was friendly.
The article was written by the journalist.,The transformation was successful.
 We are expecting guests tonight.,A community thrived
He read at least 15 chapters.,The cheese was sharp.
The reindeer have thick coats,She inspired others.
Their time was volunteered by the parents.,Giraffes reached high leaves
It grows rapidly,The wolves howled at night
The article was edited for clarity by the editor., He is capable of running a 5k race.
The library has over 9000 books.,Impressive sets were built by the set designer.
He analyzed the data.,The bestseller was displayed prominently by the bookstore.
The waiter served the food.,The producer created a successful television show.
They are tired, The air was extremely humid.
He read over 100 novels., They are likely to win the game.
The cold was frigid., The pens are on the desk.
The consequence was grave., She drank a large quantity of water.
 Delays are likely.,Walruses hauled out on land
The carpenter framed the house.,I have 15 cats.
The horse ran quickly.,The client was helped to cope with stress by the therapist.
The engineer designed a sophisticated algorithm., The pizza was extremely cheesy.
The bees buzz around,The jewelry is on the dresser
The reward was substantial.,The police apprehended the thief.
 The exchange was complicated.,The carpenter finished the furniture.
The invention was transformative.,The container is on the counter
The bird did not perch on a branch.,The galaxy is in space
He won numerous awards.,The lion thundered majestically.
The book could be well-written.,The cashier accepted the payment.
The result was successful.,The market steadily grew during the quarter.
The rocket launches powerfully,The cheese was sharp.
The song was sung by the singer.,He jumped over the fence.
 She bought a large number of pairs of socks.,The environment was supportive.
 The outcome was negative.,You differentiate clearly
The talent is exceptional.,The satellite is transmitting data
The child might have laughed happily.,The sailors skillfully navigated the vessel.
The application was accepted., The scenery is very stunning.
The scientist conducted a series of experiments., The value is low.
The design might be stylish.,The hawks hunt fiercely
A meeting is at 3 PM,She produced abundantly
The presentation could have been persuasive.,The strategy may have been successful.
The question was answered.,The money was counted by the cashier.
A street is busy,New policies were implemented by the manager.
 The economy is shrinking.,The technology was advanced.
The ability is remarkable.,The meteor is in space
I bought 6 pairs of shoes.,The moment was special.
The manager supervised the team.,Error was corrected.
The letter was written.,The product was carefully produced by the manufacturer.
She may not be happy.,The salesperson sold the product.
The project succeeded,A team worked collaboratively
The outcome is positive., She is hoping to feel better soon.
The technology is advanced.,I segregated items carefully
The bird is above the tree, He is skilled at chess.
The toad may have sat on a lily pad., The dinner was slightly rushed.
The flood inundated the streets.,The laptop is on the desk
 The message is extremely concise.,We respond thoughtfully
The pizza is delicious,The niece visited her aunt.
The store held a sale.,The jar is on the shelf
The sunrise was radiant., He should be able to speak fluent French for his job.
The engineer designed a new technology., The mouse is surprisingly tiny.
The library was peaceful,I complicate unnecessarily
 The day is gloriously sunny.,The secret was concealed.
 The atmosphere was hostile.,The suggestion was considered.
She used high-quality ingredients.,The challenge may have been daunting.
 The team scored many goals.,The trees swayed rhythmically in the breeze.
 The solution is ineffective.,Capacity was realised.
The team was highly productive.,The problem was proactively solved by the employee.
